Company_Name,Ticker,Current_Price,Market_Cap,Enterprise_Value,PER,Forward_PER,PEG_Ratio,PBV,PS_Ratio,PC_Ratio,EV_EBITDA,EV_Revenue,Gross_Margin,Operating_Margin,Net_Profit_Margin,ROA,ROE,ROIC,Revenue_Growth_YoY,Earnings_Growth_YoY,Current_Ratio,Quick_Ratio,Debt_to_Equity,Debt_to_Assets,Interest_Coverage,Dividend_Yield,Dividend_Rate,Payout_Ratio,Beta,52_Week_High,52_Week_Low,Avg_Volume,Shares_Outstanding,Float_Shares,EPS_TTM,Book_Value_Per_Share,Revenue_Per_Share,Free_Cash_Flow_Per_Share,EBITDA,Total_Revenue,Net_Income,Total_Debt,Total_Cash,Free_Cash_Flow,Operating_Cash_Flow,Sector,Industry,Detailed_Industry,analyst_target,analyst_recommendation,short_interest,institutional_ownership
PT Bukit Asam (Persero) Tbk,PTBA.JK,2890.0,33276490153984,32045331906560,9.9631,7.0676,0.38,1.48,0.7802,,7.273,0.751,14.6702,7.0364,6.8695,6.6716,,7.6977,-0.065,-0.183,1.119,0.707,17.055,8.7829,13.4792,1158.0,332.44,1.3088,-0.38,3220.0,2170.0,32394650,11514357245,3776939465.0,290.07,1952.668,3702.195,157.3986,4405835857920.0,42651722186752,2929957011456,3857182883840,4991144165376,1812343685120.0,6260828143616,Energy,Thermal Coal,Healthcare,2766.3635,hold,,0.06184
PT Industri Jamu dan Farmasi Sido Muncul Tbk,SIDO.JK,478.0,14070025551872,13552679124992,12.3674,11.9232,111.63,4.509,3.4488,,8.157,3.322,57.9728,37.3401,30.13,33.3852,,38.4777,0.045,0.057,3.86,2.91,0.132,0.1116,934.5699,777.0,37.0,1.1128,0.069,585.0,460.0,12766170,29435200000,6139594016.0,38.65,106.01,137.268,32.3559,1661431054336.0,4079658991616,1229201997824,4110000128,462592999424,952402771968.0,1253401034752,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare,601.1111,buy,,0.05844
PT Jayamas Medica Industri Tbk,OMED.JK,282.0,7616289832960,6387341459456,20.7658,,,2.7996,3.4623,,13.017,2.904,34.7655,18.884,17.7801,11.4749,,10.5243,0.312,0.354,11.08,7.412,9.381,6.758,22.6814,129.0,3.57,0.2631,0.236,318.0,159.0,18967372,27008119900,3970193625.0,13.58,100.727,81.387,2.4937,490694148096.0,2199749656576,392554643456,267513544704,1367327375360,67348946944.0,334880931840,Healthcare,Medical Instruments & Supplies,Healthcare,253.0,none,,0.03431
PT Kalbe Farma Tbk.,KLBF.JK,895.0,40497728978944,36336799055872,11.2338,11.9636,1.27,1.6668,1.1183,,6.873,1.003,39.266,12.8665,10.3752,11.9384,,14.3358,0.094,-0.035,3.556,1.993,1.187,0.9684,128.9476,416.0,36.0,0.4518,,1600.0,850.0,46902838,45248860110,18030765777.0,79.67,536.97,797.413,52.5785,5286783877120.0,36214715449344,3617152040960,305598988288,4546501804032,2379115659264.0,3190307946496,Healthcare,Drug Manufacturers - General,Healthcare,1521.3334,strong_buy,,0.11395001
PT Mark Dynamics Indonesia Tbk,MARK.JK,820.0,3116000083968,2944269811712,10.4792,,,3.4631,3.5204,,7.855,3.326,50.4417,41.838,33.9036,27.7564,,30.6751,0.235,0.192,6.733,4.324,0.628,6.4491,232.4885,1111.0,90.0,0.8948,0.312,905.0,585.0,9921961,3800000310,749816061.0,78.25,236.783,232.926,44.2942,374848978944.0,885117353984,297293611008,6183241216,142781431808,168317878272.0,299074945024,Healthcare,Medical Instruments & Supplies,Healthcare,,none,,0.00011
PT Mitra Keluarga Karyasehat Tbk,MIKA.JK,1885.0,26214037192704,24586525605888,18.9924,19.926,1.25,3.4591,4.8075,,11.967,4.509,54.7393,30.819,25.4233,14.7286,,15.6903,0.066,0.048,4.537,4.23,0.111,0.1031,95.5641,226.0,43.0,0.4335,,2820.0,1885.0,2420272,13906650800,4733133179.0,99.25,544.934,392.081,29.205,2054584401920.0,5452682231808,1379643949056,9423562752,2855298138112,406143991808.0,1945097732096,Healthcare,Medical Care Facilities,Healthcare,3026.0,strong_buy,,0.06226
PT Tempo Scan Pacific Tbk,TSPC.JK,2460.0,11094266478592,7718272761856,8.2302,,0.44,1.207,0.7844,,4.071,0.546,38.0187,12.1607,10.0447,10.7508,,13.3435,0.042,-0.143,3.326,2.374,11.214,8.107,25.7185,820.0,200.0,0.6689,,3220.0,2120.0,1308614,4509864300,426096677.0,298.9,2038.179,3134.451,169.8021,1896001830912.0,14143062016000,1349320966144,1122400468992,4875688607744,765784424448.0,1663908577280,Industrials,Conglomerates,Healthcare,,none,,0.010620001
PT Indosat Ooredoo Hutchison Tbk,ISAT.JK,2140.0,69016735449088,121109026439168,12.1343,10.7381,0.78,1.9002,1.1867,,5.679,2.082,57.8392,19.6954,9.7486,4.6444,,10.1045,0.121,0.138,0.563,0.282,133.421,46.2912,2.6648,393.0,83.8,0.475,-0.301,2600.0,1615.0,19568248,32250810956,8378115670.0,176.36,1126.181,1803.395,243.321,21324923666432.0,58160937172992,5689966067712,54753551712256,5564425830400,7847301087232.0,22007957684224,Communication Services,Telecom Services,Infrastructure & Utilities,2763.9473,strong_buy,,0.11494
PT Astra International Tbk,ASII.JK,5850.0,234373328666624,356863933677568,7.4534,7.6186,0.77,1.0277,0.7354,,6.24,1.12,22.0921,11.9561,10.1329,6.4587,,8.7062,-0.056,-0.146,1.214,0.888,39.859,21.7399,10.3548,678.0,390.0,0.5172,0.064,7475.0,4400.0,38133803,40063816240,17803158023.0,784.88,5692.237,7898.854,393.0573,57191998423040.0,318698988503040,31686999932928,116834997108736,50695998799872,15747374907392.0,37586999443456,Industrials,Conglomerates,Insurance,6969.0,buy,,0.18399
PT Selamat Sempurna Tbk,SMSM.JK,1865.0,10739929579520,9957736972288,9.7161,10.2091,9140.97,2.8201,2.0203,,6.036,1.873,37.0523,28.1373,21.0666,21.7831,,26.5082,-0.018,-0.066,5.937,3.717,3.671,3.3503,91.3742,753.0,140.0,0.599,,2050.0,1655.0,1862385,5758675440,2386107169.0,191.95,661.329,922.506,137.7721,1649820041216.0,5315922231296,1108074037248,168266006528,1441790951424,793384779776.0,1293444972544,Consumer Cyclical,Auto Parts,Manufacturing,2500.0,buy,,0.26075
